Posição	Piloto	País	Equipe	Pontuação
1º	Max Verstappen	Holanda	RBR/Honda	395,5.
2	Lewis Hamilton	Inglaterra	Mercedes	387,5.
3º	Valtteri Bottas	Finlândia	Mercedes	226.
4º	Sergio Pérez	México	RBR/Honda	190.
5º	Carlos Sainz	Espanha	Ferrari	164,5.
6º	Lando Norris	Inglaterra	McLaren/Mercedes	160.
7º	Chales Leclerc	Mônaco	Ferrari	159.
8º	Daniel Ricciardo	Austrália	McLaren/Mercedes	115.
9º	Pierre Gasly	França	AlphaTauri/Honda	110.
10º	Fernando Alonso	Espanha	Alpine/Renault	81.
11º	Esteban Ocon	França	Alpine/Renault	74.
12º	Sebastian Vettel	Alemanha	Aston Martin/Mercedes	43.
13º	Lance Stroll	Canadá	Aston Martin/Mercedes	34.
14º	Yuki Tsunoda	Japão	AlphaTauri/Honda	32.
15º	Geroge Russell	Inglaterra	Williams/Mercedes	16.
16º	Kimi Räikkönen	Finlândia	Alfa Romeo/Ferrari	10.
17º	Nicholas Latifi	Canadá	Williams/Mercedes	7.
18º	Antonio Giovinazzi	Itália	Alfa Romeo/Ferrari	3.
19º	Mick Schumacher	Alemanha	Haas/Ferrari	0.
20º	Robert Kubica	Polônia	Alfa Romeo/Ferrari	0.
21°	Nikita Mazepin	Nikita Mazepin	Haas/Ferrari	0.
